Date,Open,High,Low,Close,Volume,Adj Close
2017-04-21,27.57,27.709999,27.469999,27.639999,68500,27.639999
2017-04-20,27.469999,27.610001,27.33,27.58,93200,27.58
2017-04-19,27.50,27.60,27.27,27.41,43600,27.41
2017-04-18,27.41,27.42,27.08,27.42,41400,27.42
2017-04-17,27.01,27.51,27.01,27.49,56500,27.49
2017-04-13,27.15,27.370001,27.00,27.059999,52300,27.059999
2017-04-12,27.700001,27.74,27.290001,27.299999,104300,27.299999
2017-04-11,27.030001,27.74,27.02,27.74,142400,27.74
2017-04-10,26.959999,27.450001,26.959999,27.09,78300,27.09
2017-04-07,26.219999,27.10,26.059999,26.860001,164700,26.860001
2017-04-06,26.280001,26.48,26.08,26.32,124700,26.32
2017-04-05,26.49,26.610001,26.26,26.32,77700,26.32
2017-04-04,26.82,26.82,26.290001,26.41,74200,26.41
2017-04-03,27.040001,27.129999,26.719999,26.76,69300,26.76
2017-03-31,27.00,27.219999,26.950001,27.120001,108300,27.120001
2017-03-30,27.08,27.299999,26.85,27.040001,78300,27.040001
2017-03-29,26.90,27.200001,26.73,27.08,77300,27.08
2017-03-28,26.450001,26.959999,26.280001,26.93,45300,26.93
2017-03-27,26.709999,26.75,26.379999,26.60,78400,26.60
2017-03-24,27.09,27.33,26.74,26.82,117200,26.82
2017-03-23,26.60,27.440001,26.60,27.059999,144800,27.059999
